id,name,types,primaryType,primaryTypeDisplayName,businessStatus,pureServiceAreaBusiness,formattedAddress,location,city
ChIJYUk0QN8Jl0cRH2QnP6qmQo4,"{'text': 'Mineralix-Arena', 'languageCode': 'de'}","['arena', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",arena,"{'text': 'Arena', 'languageCode': 'en'}",OPERATIONAL,,"Ringstraße 67, 76356 Weingarten (Baden), Germany","{'latitude': 49.049977299999995, 'longitude': 8.520034899999999}",Karlsruhe
ChIJiwrxH-EJl0cRRhWOl5DMhuI,"{'text': 'Shell', 'languageCode': 'de'}","['gas_station', 'sandwich_shop', 'convenience_store', 'courier_service', 'car_wash', 'cafe', 'atm', 'food_store', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",gas_station,"{'text': 'Gas station', 'languageCode': 'en'}",OPERATIONAL,,"Durlacher Str. 82, 76356 Weingarten (Baden), Germany","{'latitude': 49.0454236, 'longitude': 8.5262956}",Karlsruhe
ChIJV8wAFtwJl0cRGzbkQgYzFBI,"{'text': 'Restaurant Panorama im Schützenhaus Weingarten', 'languageCode': 'de'}","['restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Kirchbergstraße 30, 76356 Weingarten (Baden), Germany","{'latitude': 49.0488279, 'longitude': 8.5347326}",Karlsruhe
ChIJe1U1uWcHl0cRgaB50gxsspc,"{'text': 'Gaststätte Vogelpark Neureut', 'languageCode': 'en'}","['greek_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",greek_restaurant,"{'text': 'Greek restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bachenweg, 76149 Karlsruhe, Germany","{'latitude': 49.0537814, 'longitude': 8.374283199999999}",Karlsruhe
ChIJb3adiWgHl0cRh84-ZfEH8WU,"{'text': 'Papas Stüble', 'languageCode': 'de'}","['greek_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",greek_restaurant,"{'text': 'Greek restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Neureuter Hauptstraße 157, 76149 Karlsruhe, Germany","{'latitude': 49.0505735, 'longitude': 8.3753573}",Karlsruhe
ChIJ6QhTqqUHl0cRP5xyPW3cZWQ,"{'text': 'Gaststätte zum Hundeverein Neureut', 'languageCode': 'de'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bachenweg, 76149 Karlsruhe, Germany","{'latitude': 49.053828599999996, 'longitude': 8.3737586}",Karlsruhe
ChIJmwlCnGgHl0cRA0du_tGye3o,"{'text': 'Restaurant Traube', 'languageCode': 'de'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Neureuter Hauptstraße 177, 76149 Karlsruhe, Germany","{'latitude': 49.0511548, 'longitude': 8.376506899999999}",Karlsruhe
ChIJUaSkH2YHl0cRBUC9gfDGY50,"{'text': ""Restaurant Nagel's Kranz"", 'languageCode': 'de'}","['restaurant', 'french_restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Neureuter Hauptstraße 210, 76149 Karlsruhe, Germany","{'latitude': 49.051289999999995, 'longitude': 8.377189999999999}",Karlsruhe
ChIJTz8o0WUHl0cRa2q7Fp1qDaI,"{'text': 'Löwen Neureut', 'languageCode': 'de'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Neureuter Hauptstraße 243, 76149 Karlsruhe, Germany","{'latitude': 49.0528065, 'longitude': 8.3789724}",Karlsruhe
ChIJxZuH778Gl0cRBmSxS5FI24o,"{'text': 'Skandinavisches Dorf', 'languageCode': 'de'}","['catering_service', 'food_delivery', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Teutschneureuter Str., 76149 Karlsruhe, Germany","{'latitude': 49.0507055, 'longitude': 8.3867277}",Karlsruhe
ChIJQSEE32QHl0cRukQjg2KELeg,"{'text': 'Deutscher Kaiser', 'languageCode': 'en'}","['guest_house', 'bed_and_breakfast', 'pub', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Teutschneureuter Str. 30, 76149 Karlsruhe, Germany","{'latitude': 49.0535448, 'longitude': 8.383702}",Karlsruhe
ChIJMeSjo3QHl0cReqCcsyvO6PI,"{'text': 'Lemoni', 'languageCode': 'de'}","['greek_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",greek_restaurant,"{'text': 'Greek restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Neureuter Hauptstraße 300, 76149 Karlsruhe, Germany","{'latitude': 49.0551743, 'longitude': 8.3816145}",Karlsruhe
ChIJkbK3zGUHl0cRWh4mky-okZg,"{'text': 'T. Ziege Café Kännle', 'languageCode': 'de'}","['cafe', 'breakfast_restaurant', 'coffee_shop', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",cafe,"{'text': 'Cafe', 'languageCode': 'en'}",OPERATIONAL,,"Neureuter Hauptstraße 264, 76149 Karlsruhe, Germany","{'latitude': 49.05336, 'longitude': 8.380279999999999}",Karlsruhe
ChIJhwx7GgYHl0cRiXwpSRwa68c,"{'text': 'Elephant Foodtruck', 'languageCode': 'en'}","['hamburger_restaurant', 'catering_service', 'food_delivery', 'american_restaurant', 'meal_takeaway', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",catering_service,"{'text': 'Caterer', 'languageCode': 'en'}",OPERATIONAL,,"Neureuter Hauptstraße 229, 76149 Karlsruhe, Germany","{'latitude': 49.0524914, 'longitude': 8.378548}",Karlsruhe
